					2018-08-07
Result of analyse of data: 1647096 values with 16237 bad values (1.0%) (taken out)
Delta T: 4
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
2018	0	1	1	1	0	1	0	0	0	0	0	0
Delta T: 14
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1986	0	0	0	0	0	0	0	0	0	0	1	1
1987	1	1	2	0	1	1	2	4	6	0	1	1
1988	0	0	0	0	1	1	0	2	2	1	0	1
1989	0	0	0	0	1	1	2	2	4	0	0	0
1990	0	0	0	0	1	1	2	3	5	0	0	0
1991	1	0	1	0	1	1	0	1	1	0	0	0
1992	0	0	0	0	1	1	0	0	0	0	0	0
1993	0	1	1	0	0	0	0	0	0	0	0	0
1994	0	0	0	0	0	0	0	0	0	0	0	0
1995	0	1	1	0	0	0	0	0	0	0	1	1
1996	0	0	0	0	0	0	0	0	0	0	0	0
1997	0	0	0	0	1	1	0	0	0	0	0	0
1998	0	0	0	0	1	1	0	0	0	0	1	1
1999	0	1	1	0	0	0	0	0	0	0	0	0
2000	1	0	1	0	0	0	0	1	1	0	0	0
2001	0	0	0	0	1	1	0	2	2	0	0	0
2002	0	0	0	0	0	0	0	0	0	0	0	0
2003	0	0	0	0	1	1	0	1	1	0	0	0
2004	1	1	2	0	1	1	0	0	0	0	1	1
2005	1	0	1	0	0	0	0	0	0	0	0	0
2006	0	0	0	0	0	0	0	0	0	0	1	1
2007	0	0	0	0	1	1	0	0	0	0	0	0
2008	0	0	0	1	0	1	0	0	0	0	0	0
2009	0	0	0	0	0	0	0	1	1	0	0	0
2010	0	0	0	0	0	0	0	0	0	0	0	0
2011	0	1	1	0	0	0	0	2	2	0	1	1
2012	1	0	1	0	0	0	0	0	0	0	1	1
2013	0	0	0	0	1	1	0	1	1	0	0	0
2014	0	0	0	0	0	0	0	0	0	0	1	1
2015	0	0	0	0	0	0	0	0	0	0	0	0
2016	1	1	2	0	1	1	0	0	0	0	0	0
2017	0	0	0	0	1	1	0	0	0	0	0	0
2018	0	0	0	0	0	0	0	0	0	0	0	0
Delta T: 15
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1986	0	0	0	0	0	0	0	0	0	0	0	0
1987	1	1	2	0	1	1	2	4	6	0	0	0
1988	0	0	0	0	1	1	0	0	0	0	0	0
1989	0	0	0	0	1	1	1	2	3	0	0	0
1990	0	0	0	0	0	0	2	3	5	0	0	0
1991	0	0	0	0	1	1	0	0	0	0	0	0
1992	0	0	0	0	0	0	0	0	0	0	0	0
1993	0	1	1	0	0	0	0	0	0	0	0	0
1994	0	0	0	0	0	0	0	0	0	0	0	0
1995	0	0	0	0	0	0	0	0	0	0	0	0
1996	0	0	0	0	0	0	0	0	0	0	0	0
1997	0	0	0	0	1	1	0	0	0	0	0	0
1998	0	0	0	0	0	0	0	0	0	0	0	0
1999	0	0	0	0	0	0	0	0	0	0	0	0
2000	0	0	0	0	0	0	0	1	1	0	0	0
2001	0	0	0	0	0	0	0	1	1	0	0	0
2002	0	0	0	0	0	0	0	0	0	0	0	0
2003	0	0	0	0	1	1	0	1	1	0	0	0
2004	0	0	0	0	0	0	0	0	0	0	1	1
2005	1	0	1	0	0	0	0	0	0	0	0	0
2006	0	0	0	0	0	0	0	0	0	0	0	0
2007	0	0	0	0	0	0	0	0	0	0	0	0
2008	0	0	0	0	0	0	0	0	0	0	0	0
2009	0	0	0	0	0	0	0	1	1	0	0	0
2010	0	0	0	0	0	0	0	0	0	0	0	0
2011	0	0	0	0	0	0	0	1	1	0	1	1
2012	1	0	1	0	0	0	0	0	0	0	0	0
2013	0	0	0	0	1	1	0	1	1	0	0	0
2014	0	0	0	0	0	0	0	0	0	0	1	1
2015	0	0	0	0	0	0	0	0	0	0	0	0
2016	1	0	1	0	1	1	0	0	0	0	0	0
2017	0	0	0	0	1	1	0	0	0	0	0	0
2018	0	0	0	0	0	0	0	0	0	0	0	0
Delta T: 16
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1986	0	0	0	0	0	0	0	0	0	0	0	0
1987	1	0	1	0	1	1	1	4	5	0	0	0
1988	0	0	0	0	1	1	0	0	0	0	0	0
1989	0	0	0	0	0	0	1	1	2	0	0	0
1990	0	0	0	0	0	0	2	3	5	0	0	0
1991	0	0	0	0	0	0	0	0	0	0	0	0
1992	0	0	0	0	0	0	0	0	0	0	0	0
1993	0	1	1	0	0	0	0	0	0	0	0	0
1994	0	0	0	0	0	0	0	0	0	0	0	0
1995	0	0	0	0	0	0	0	0	0	0	0	0
1996	0	0	0	0	0	0	0	0	0	0	0	0
1997	0	0	0	0	1	1	0	0	0	0	0	0
1998	0	0	0	0	0	0	0	0	0	0	0	0
1999	0	0	0	0	0	0	0	0	0	0	0	0
2000	0	0	0	0	0	0	0	0	0	0	0	0
2001	0	0	0	0	0	0	0	0	0	0	0	0
2002	0	0	0	0	0	0	0	0	0	0	0	0
2003	0	0	0	0	0	0	0	0	0	0	0	0
2004	0	0	0	0	0	0	0	0	0	0	0	0
2005	1	0	1	0	0	0	0	0	0	0	0	0
2006	0	0	0	0	0	0	0	0	0	0	0	0
2007	0	0	0	0	0	0	0	0	0	0	0	0
2008	0	0	0	0	0	0	0	0	0	0	0	0
2009	0	0	0	0	0	0	0	0	0	0	0	0
2010	0	0	0	0	0	0	0	0	0	0	0	0
2011	0	0	0	0	0	0	0	0	0	0	1	1
2012	1	0	1	0	0	0	0	0	0	0	0	0
2013	0	0	0	0	1	1	0	1	1	0	0	0
2014	0	0	0	0	0	0	0	0	0	0	0	0
2015	0	0	0	0	0	0	0	0	0	0	0	0
2016	1	0	1	0	1	1	0	0	0	0	0	0
2017	0	0	0	0	0	0	0	0	0	0	0	0
2018	0	0	0	0	0	0	0	0	0	0	0	0
Delta T: 17
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1986	0	0	0	0	0	0	0	0	0	0	0	0
1987	1	0	1	0	1	1	1	3	4	0	0	0
1988	0	0	0	0	1	1	0	0	0	0	0	0
1989	0	0	0	0	0	0	1	1	2	0	0	0
1990	0	0	0	0	0	0	2	2	4	0	0	0
1991	0	0	0	0	0	0	0	0	0	0	0	0
1992	0	0	0	0	0	0	0	0	0	0	0	0
1993	0	0	0	0	0	0	0	0	0	0	0	0
1994	0	0	0	0	0	0	0	0	0	0	0	0
1995	0	0	0	0	0	0	0	0	0	0	0	0
1996	0	0	0	0	0	0	0	0	0	0	0	0
1997	0	0	0	0	0	0	0	0	0	0	0	0
1998	0	0	0	0	0	0	0	0	0	0	0	0
1999	0	0	0	0	0	0	0	0	0	0	0	0
2000	0	0	0	0	0	0	0	0	0	0	0	0
2001	0	0	0	0	0	0	0	0	0	0	0	0
2002	0	0	0	0	0	0	0	0	0	0	0	0
2003	0	0	0	0	0	0	0	0	0	0	0	0
2004	0	0	0	0	0	0	0	0	0	0	0	0
